variable,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,p.adj.signif,level
Aureococcus.anophagefferens,-5.30412781468447e-05,value,Plastisphere,Seawater,92,92,3935,0.311,-7.01152995589669e-05,2.2736824876321e-05,Wilcoxon,two.sided,0.311,ns,ns
Chaetoceros.curvisetus,2.24041129573153e-05,value,Plastisphere,Seawater,92,92,4421.5,0.571,-6.43523674817211e-05,3.46990996147304e-05,Wilcoxon,two.sided,0.571,ns,ns
Chaetoceros.debilis,3.85456835356467e-05,value,Plastisphere,Seawater,92,92,4454,0.414,-3.80688270363472e-05,1.89600558306384e-05,Wilcoxon,two.sided,0.414,ns,ns
Chaetoceros.diadema,2.57053456783861e-05,value,Plastisphere,Seawater,92,92,4555,0.369,-0.0504223760590809,0.0505349925050508,Wilcoxon,two.sided,0.369,ns,ns
Chaetoceros.lorenzianus,-5.77800791908711e-05,value,Plastisphere,Seawater,92,92,4027.5,0.334,-2.52153237799887e-05,5.22644715292626e-05,Wilcoxon,two.sided,0.334,ns,ns
Chaetoceros.pseudocurvisetus,-4.97388328777428e-05,value,Plastisphere,Seawater,92,92,4142.5,0.486,-4.78860169117207e-06,2.59782309213102e-05,Wilcoxon,two.sided,0.486,ns,ns
Chaetoceros.rostratus,-4.7973660703377e-05,value,Plastisphere,Seawater,92,92,4049.5,0.273,-5.50493280911505e-05,5.32840990537651e-06,Wilcoxon,two.sided,0.273,ns,ns
Chaetoceros.simplex,3.27875842287835e-05,value,Plastisphere,Seawater,92,92,4276,0.716,-1.79297364491186e-05,5.9950209030671e-05,Wilcoxon,two.sided,0.716,ns,ns
Chaetoceros.socialis,2.11873328380284e-05,value,Plastisphere,Seawater,92,92,4828.5,0.024,-3.85504209704531e-05,1.71724451527033e-05,Wilcoxon,two.sided,0.024,*,enriched
Chaetoceros.tenuissimus,0.0112868314241567,value,Plastisphere,Seawater,92,92,4459.5,0.53,-0.0259016159883644,0.0518478748485231,Wilcoxon,two.sided,0.53,ns,ns
Chaetoceros.throndsenii,2.38457932773026e-05,value,Plastisphere,Seawater,92,92,4401.5,0.364,-1.77321556357389e-05,2.38354776784646e-05,Wilcoxon,two.sided,0.364,ns,ns
Coscinodiscus.radiatus,2.27841937077643e-05,value,Plastisphere,Seawater,92,92,4242,0.979,-0.0142928272882977,0.0142728968780826,Wilcoxon,two.sided,0.979,ns,ns
Cyclotella.meneghiniana,-0.0539772108808673,value,Plastisphere,Seawater,92,92,3363.5,0.016,-0.131634727949312,-0.0107094306028216,Wilcoxon,two.sided,0.016,*,depleted
Cylindrotheca.closterium,0.174655795006945,value,Plastisphere,Seawater,92,92,6797.5,1.23e-12,0.123432702991875,0.262036952532399,Wilcoxon,two.sided,1.23e-12,****,enriched
Dictyocha.fibula,-8.67888641467101e-05,value,Plastisphere,Seawater,92,92,3791,0.213,-0.0232090397035148,3.22336570362911e-05,Wilcoxon,two.sided,0.213,ns,ns
Dunaliella.salina,-0.00768238811614814,value,Plastisphere,Seawater,92,92,4067.5,0.65,-0.0536876642565163,0.026863272203034,Wilcoxon,two.sided,0.65,ns,ns
Eucampia.zodiacus,-0.0372234726928937,value,Plastisphere,Seawater,92,92,3971.5,0.47,-0.111727371580668,0.0372945183461427,Wilcoxon,two.sided,0.47,ns,ns
Gonyaulax.polygramma,-3.83393480245886e-05,value,Plastisphere,Seawater,92,92,4086.5,0.366,-2.56510912164662e-05,4.53770871701589e-05,Wilcoxon,two.sided,0.366,ns,ns
Gonyaulax.verior,-9.03369121305656e-05,value,Plastisphere,Seawater,92,92,4173.5,0.735,-5.52652614847542e-05,8.4107185574016e-06,Wilcoxon,two.sided,0.735,ns,ns
Guinardia.flaccida,-0.0267833529769161,value,Plastisphere,Seawater,92,92,3750,0.18,-0.0801395235925459,5.93873083294965e-05,Wilcoxon,two.sided,0.18,ns,ns
Halamphora.coffeiformis,0.20138036491492,value,Plastisphere,Seawater,92,92,6921,9.74e-14,0.126475939657161,0.285770035131029,Wilcoxon,two.sided,9.74e-14,****,enriched
Heterocapsa.triquetra,-0.103047227940223,value,Plastisphere,Seawater,92,92,3257.5,0.007,-0.21626771875131,-0.0308769256386336,Wilcoxon,two.sided,0.007,**,depleted
Lauderia.annulata,-8.59177075454738e-05,value,Plastisphere,Seawater,92,92,4202,0.896,-2.65451345570951e-05,4.02908634424519e-05,Wilcoxon,two.sided,0.896,ns,ns
Lepidodinium.chlorophorum,-9.69838118501414e-06,value,Plastisphere,Seawater,92,92,4075.5,0.665,-0.0837937552328198,0.0279557547023149,Wilcoxon,two.sided,0.665,ns,ns
Leptocylindrus.danicus,-4.89408774510592e-05,value,Plastisphere,Seawater,92,92,4091.5,0.674,-6.51649101960768e-06,1.730552899546e-06,Wilcoxon,two.sided,0.674,ns,ns
Levanderina.fissa,2.85499463669225e-05,value,Plastisphere,Seawater,92,92,4473,0.48,-2.24659657123706e-05,1.89517515698617e-05,Wilcoxon,two.sided,0.48,ns,ns
Nitzschia.longissima,0.139943348237647,value,Plastisphere,Seawater,92,92,5101,0.014,5.10973229698922e-05,0.139987681734842,Wilcoxon,two.sided,0.014,*,enriched
Noctiluca.scintillans,0.00945771720208585,value,Plastisphere,Seawater,92,92,4428,0.588,-0.0472352651895854,0.0661491794469792,Wilcoxon,two.sided,0.588,ns,ns
Plagioselmis.prolonga,-0.239596039912255,value,Plastisphere,Seawater,92,92,2532.5,2.51e-06,-0.383347860196777,-0.119784808426509,Wilcoxon,two.sided,2.51e-06,****,depleted
Prorocentrum.triestinum,-0.0317459520999602,value,Plastisphere,Seawater,92,92,3703.5,0.144,-0.102069058480274,0.007086403279178,Wilcoxon,two.sided,0.144,ns,ns
Protodinium.simplex,-0.0273071989048634,value,Plastisphere,Seawater,92,92,3454,0.031,-0.0820133342214977,-4.11654380302097e-05,Wilcoxon,two.sided,0.031,*,depleted
Pseudocochlodinium.profundisulcus,-2.46124036061242e-05,value,Plastisphere,Seawater,92,92,3700,0.024,-4.23845357904198e-05,6.46830422204707e-05,Wilcoxon,two.sided,0.024,*,depleted
Pyrophacus.steinii,-5.23694260158239e-05,value,Plastisphere,Seawater,92,92,4043,0.381,-2.26203820379403e-05,1.55106378448101e-05,Wilcoxon,two.sided,0.381,ns,ns
Skeletonema.marinoi,0.0817047418063364,value,Plastisphere,Seawater,92,92,5096.5,0.017,0.0135818311366421,0.163439206065336,Wilcoxon,two.sided,0.017,*,enriched
Teleaulax.acuta,-0.0803680038130752,value,Plastisphere,Seawater,92,92,3244.5,0.006,-0.151917269938188,-0.0267684231107354,Wilcoxon,two.sided,0.006,**,depleted
Tenuicylindrus.belgicus,3.42444009209734e-06,value,Plastisphere,Seawater,92,92,4649,0.092,-5.64490360871236e-05,1.98622509577487e-05,Wilcoxon,two.sided,0.092,ns,ns
Thalassiosira.allenii,2.67050604680069e-05,value,Plastisphere,Seawater,92,92,5204,0.003,6.15641147350193e-05,0.17098910060595,Wilcoxon,two.sided,0.003,**,enriched
Thalassiosira.curviseriata,3.3651375615866e-05,value,Plastisphere,Seawater,92,92,4449.5,0.507,-5.21019913096587e-05,5.69989554512039e-05,Wilcoxon,two.sided,0.507,ns,ns
Thalassiosira.mala,0.00515226245639222,value,Plastisphere,Seawater,92,92,4892,0.067,-1.35070225090473e-06,0.0227994335844543,Wilcoxon,two.sided,0.067,ns,ns
Thalassiosira.pseudonana,-3.2973519255631e-05,value,Plastisphere,Seawater,92,92,3843,0.172,-9.21418635377001e-05,2.48034639195187e-05,Wilcoxon,two.sided,0.172,ns,ns
Thalassiosira.weissflogii,3.43835061827011e-05,value,Plastisphere,Seawater,92,92,4762.5,0.124,-6.37764817668614e-06,0.0177638898510922,Wilcoxon,two.sided,0.124,ns,ns
Tripos.fusus,-3.42361047071781e-05,value,Plastisphere,Seawater,92,92,3573.5,0.054,-0.0669295650913495,3.9944047210433e-05,Wilcoxon,two.sided,0.054,ns,ns
