SampleID	Akashiwo_sanguinea	Alexandrium_andersonii	Alexandrium_cohorticula	Alexandrium_hiranoi	Alexandrium_ostenfeldii	Alexandrium_tamarense	Amphidinium_klebsii	Asterionellopsis_glacialis	Aureococcus_anophagefferens	Azadinium_poporum	Chaetoceros_curvisetus	Chaetoceros_debilis	Chaetoceros_diadema	Chaetoceros_lorenzianus	Chaetoceros_pseudocurvisetus	Chaetoceros_rostratus	Chaetoceros_simplex	Chaetoceros_socialis	Chaetoceros_tenuissimus	Chaetoceros_throndsenii	Chrysochromulina_leadbeateri	Coscinodiscus_radiatus	Cyclotella_meneghiniana	Cylindrotheca_closterium	Dictyocha_fibula	Dinophysis_acuminata	Dinophysis_miles	Dunaliella_salina	Eucampia_zodiacus	Fibrocapsa_japonica	Gonyaulax_polygramma	Gonyaulax_spinifera	Gonyaulax_verior	Guinardia_flaccida	Gymnodinium_catenatum	Halamphora_coffeiformis	Heterocapsa_triquetra	Heterosigma_akashiwo	Karenia_mikimotoi	Karlodinium_veneficum	Lauderia_annulata	Lepidodinium_chlorophorum	Leptocylindrus_danicus	Levanderina_fissa	Lingulodinium_polyedra	Margalefidinium_fulvescens	Margalefidinium_polykrikoides	Nitzschia_longissima	Noctiluca_scintillans	Plagioselmis_prolonga	Polykrikos_hartmannii	Prorocentrum_cordatum	Prorocentrum_rhathymum	Prorocentrum_triestinum	Protoceratium_reticulatum	Protodinium_simplex	Protoperidinium_crassipes	Prymnesium_parvum	Prymnesium_polylepis	Pseudo-nitzschia_australis	Pseudo-nitzschia_cuspidata	Pseudo-nitzschia_delicatissima	Pseudochattonella_verruculosa	Pseudocochlodinium_profundisulcus	Pyrophacus_steinii	Skeletonema_marinoi	Teleaulax_acuta	Tenuicylindrus_belgicus	Thalassiosira_allenii	Thalassiosira_curviseriata	Thalassiosira_mala	Thalassiosira_pseudonana	Thalassiosira_weissflogii	Tripos_fusus	Akashiwo_sanguinea	Alexandrium_andersonii	Alexandrium_cohorticula	Alexandrium_hiranoi	Alexandrium_ostenfeldii	Alexandrium_tamarense	Amphidinium_klebsii	Asterionellopsis_glacialis	Aureococcus_anophagefferens	Azadinium_poporum	Chaetoceros_curvisetus	Chaetoceros_debilis	Chaetoceros_diadema	Chaetoceros_lorenzianus	Chaetoceros_pseudocurvisetus	Chaetoceros_rostratus	Chaetoceros_simplex	Chaetoceros_socialis	Chaetoceros_tenuissimus	Chaetoceros_throndsenii	Chrysochromulina_leadbeateri	Coscinodiscus_radiatus	Cyclotella_meneghiniana	Cylindrotheca_closterium	Dictyocha_fibula	Dinophysis_acuminata	Dinophysis_miles	Dunaliella_salina	Eucampia_zodiacus	Fibrocapsa_japonica	Gonyaulax_polygramma	Gonyaulax_spinifera	Gonyaulax_verior	Guinardia_flaccida	Gymnodinium_catenatum	Halamphora_coffeiformis	Heterocapsa_triquetra	Heterosigma_akashiwo	Karenia_mikimotoi	Karlodinium_veneficum	Lauderia_annulata	Lepidodinium_chlorophorum	Leptocylindrus_danicus	Levanderina_fissa	Lingulodinium_polyedra	Margalefidinium_fulvescens	Margalefidinium_polykrikoides	Nitzschia_longissima	Noctiluca_scintillans	Plagioselmis_prolonga	Polykrikos_hartmannii	Prorocentrum_cordatum	Prorocentrum_rhathymum	Prorocentrum_triestinum	Protoceratium_reticulatum	Protodinium_simplex	Protoperidinium_crassipes	Prymnesium_parvum	Prymnesium_polylepis	Pseudo-nitzschia_australis	Pseudo-nitzschia_cuspidata	Pseudo-nitzschia_delicatissima	Pseudochattonella_verruculosa	Pseudocochlodinium_profundisulcus	Pyrophacus_steinii	Skeletonema_marinoi	Teleaulax_acuta	Tenuicylindrus_belgicus	Thalassiosira_allenii	Thalassiosira_curviseriata	Thalassiosira_mala	Thalassiosira_pseudonana	Thalassiosira_weissflogii	Tripos_fusus
EnvHKWinEs1	507	0	0	0	5	5	0	7	0	0	0	0	3	0	0	0	0	1	61	1	0	1	190	7	18	0	0	5	222	90	1	0	0	24	6	3	459	23	0	3	0	53	234	115	9	2	1	0	158	12	65	0	8	490	1	712	0	0	8	0	6	60	0	2	0	9	19	3	0	0	30	0	0	1	68	1	0	2	25	46	0	5	1	0	0	0	3	0	0	0	0	1	163	1	0	7	81	72	18	0	0	41	12	4	0	0	1	12	1	1045	15	16	0	1	0	4	7	5	0	0	1	3	11	4	1	5	4	66	0	23	0	1	2	1	2	35	0	0	0	52	24	0	6	2	27	0	6	2
EnvHKWinEs2	400	0	0	1	3	5	0	11	0	0	0	0	7	0	0	0	0	0	64	0	0	1	141	3	12	0	0	2	91	45	0	0	0	11	7	1	625	12	2	11	0	70	139	78	15	0	0	0	98	5	54	1	5	476	0	1305	0	1	7	2	3	34	0	1	0	7	10	0	0	0	19	0	0	5	60	0	0	0	39	69	0	7	1	0	0	1	12	1	0	0	1	5	106	1	0	2	140	209	10	0	0	33	24	5	0	0	0	19	0	429	15	30	1	0	0	12	14	11	0	0	1	2	38	14	2	6	5	115	0	36	1	1	3	1	7	40	0	0	1	64	31	3	7	1	66	0	5	5
EnvHKWinEs4	212	0	0	0	0	1	0	8	1	0	0	0	0	0	0	0	0	0	84	2	0	3	160	2	18	0	0	1	153	53	0	0	0	13	0	2	730	17	1	15	0	40	132	106	5	1	0	0	125	4	58	2	4	416	0	1149	0	0	8	1	6	40	1	0	0	6	8	0	0	0	10	0	1	4	101	0	0	1	8	12	0	27	4	0	0	0	48	0	0	0	1	18	52	3	0	5	64	103	16	0	2	27	45	6	0	0	0	10	0	276	38	90	1	0	0	15	45	6	0	0	3	6	41	25	31	28	2	231	0	67	0	0	6	0	9	100	0	0	0	68	83	3	7	0	161	0	8	1
EnvHKWinEs5	172	0	0	4	0	0	0	8	0	0	0	0	9	0	0	1	0	0	90	0	0	0	136	11	8	0	0	4	215	31	0	0	0	10	5	1	434	8	2	17	0	75	110	78	6	0	0	0	72	5	104	4	1	460	0	1601	0	1	6	0	5	31	1	0	0	5	12	3	1	0	3	0	3	2	116	1	0	5	16	48	0	17	3	0	0	1	15	1	0	0	0	12	36	5	0	4	87	136	80	0	1	25	32	8	0	0	0	9	1	205	334	67	3	0	1	60	40	9	2	0	0	0	77	8	33	11	3	232	0	152	0	1	11	2	6	30	2	0	0	17	11	1	5	0	111	0	9	2
EnvHKWinMc1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	58	0	0	2	145	262	0	0	0	146	5	0	0	0	0	1	0	37	6	21	0	0	0	1	4	3	0	0	0	16	2	40	1	42	0	5	0	33	0	0	1	4	0	8	0	0	0	346	307	0	4	0	6	0	1	1	16	0	0	1	4	0	1	0	1	0	0	0	2	0	0	0	0	0	208	0	0	20	73	259	4	0	0	158	5	2	0	0	0	9	0	52	27	7	1	0	0	2	2	8	0	0	0	3	4	16	0	37	26	50	0	23	0	0	2	1	1	25	1	0	0	69	344	0	3	0	38	0	9	6
EnvHKWinMc10	482	0	0	31	378	693	0	3	0	0	0	0	0	8	0	0	0	0	63	0	0	31	42	66	120	0	25	13	21	4	0	0	2	76	7	64	21	7	1	0	2	25	1	29	1	0	10	1	55	7	6	3	0	68	0	54	1	1	1	0	2	0	1	1	0	28	11	0	3	1	45	0	5	62	61	0	0	0	19	9	0	0	0	1	0	0	21	0	0	0	0	1	102	0	0	9	196	187	5	1	0	58	19	4	0	0	0	16	2	26	35	3	0	6	1	35	2	19	0	0	2	5	113	20	1	11	9	124	0	58	1	7	2	2	2	10	27	0	1	77	51	3	4	2	88	0	2	0
EnvHKWinMc11	233	0	0	4	27	104	0	6	0	0	0	0	1	0	0	1	0	0	51	0	0	83	67	24	51	0	5	52	14	5	0	0	0	227	8	52	91	3	3	1	0	17	14	7	2	1	1	4	204	15	5	8	3	197	0	119	0	0	1	3	1	17	0	1	0	27	63	3	2	0	376	0	18	84	44	0	0	0	0	6	0	1	0	1	0	2	4	0	0	0	0	0	127	0	0	809	125	47	2	0	0	15	22	5	0	2	0	13	1	23	66	5	3	5	0	18	10	8	1	0	0	0	32	17	1	11	8	73	0	75	0	3	3	1	1	16	2	0	0	14	30	0	10	2	903	0	2	1
EnvHKWinMc12	341	0	0	12	18	41	0	1	0	0	0	0	2	0	0	3	1	1	108	0	0	78	72	101	81	0	11	27	1	3	1	0	0	251	3	36	47	3	6	2	1	5	7	35	0	2	1	2	307	26	6	9	10	84	0	39	1	4	1	5	0	10	0	0	0	31	35	2	3	1	305	0	2	87	57	1	0	0	2	1	0	0	2	1	0	0	3	0	0	0	0	0	236	0	0	464	142	122	4	1	1	40	41	7	1	1	0	17	1	39	87	10	4	5	0	30	19	28	0	0	0	4	56	14	16	13	4	89	0	189	0	3	0	0	4	33	4	0	1	60	194	1	7	3	100	0	19	5
EnvHKWinMc13	212	0	0	4	6	28	0	0	1	0	0	1	3	0	0	1	3	0	176	0	1	87	102	55	55	0	4	28	11	3	1	0	0	166	4	53	56	3	2	1	0	4	13	10	0	0	0	5	228	26	2	5	6	65	0	67	0	6	2	2	0	25	0	1	0	39	51	0	10	1	333	0	4	93	29	2	0	0	5	5	0	0	0	3	0	2	6	0	0	0	0	0	228	0	1	82	133	107	1	0	0	42	18	2	0	0	0	20	2	31	65	7	2	3	0	20	3	4	0	0	0	2	39	23	1	25	4	89	0	40	0	4	1	2	6	48	4	0	0	84	232	1	9	1	109	0	7	4
EnvHKWinMc15	107	1	0	3	26	20	0	0	0	0	0	0	0	1	0	0	0	1	172	0	0	82	82	63	63	0	5	38	12	4	2	0	0	217	1	96	28	3	1	0	1	1	1	4	0	0	0	4	141	16	1	15	4	42	0	18	0	1	2	5	1	27	2	1	0	67	83	1	3	0	450	0	5	110	50	2	0	2	14	17	0	0	0	2	0	0	5	0	0	0	0	0	120	0	0	76	197	238	3	0	0	33	20	1	1	0	0	12	0	34	33	5	4	4	0	24	3	15	0	0	0	5	57	27	0	6	5	104	0	40	0	6	5	3	0	10	4	0	1	44	52	0	3	3	245	2	2	0
