SampleID	Akashiwo_sanguinea	Alexandrium_andersonii	Alexandrium_cohorticula	Alexandrium_hiranoi	Alexandrium_ostenfeldii	Alexandrium_tamarense	Amphidinium_klebsii	Asterionellopsis_glacialis	Aureococcus_anophagefferens	Azadinium_poporum	Chaetoceros_curvisetus	Chaetoceros_debilis	Chaetoceros_diadema	Chaetoceros_lorenzianus	Chaetoceros_pseudocurvisetus	Chaetoceros_rostratus	Chaetoceros_simplex	Chaetoceros_socialis	Chaetoceros_tenuissimus	Chaetoceros_throndsenii	Chrysochromulina_leadbeateri	Coscinodiscus_radiatus	Cyclotella_meneghiniana	Cylindrotheca_closterium	Dictyocha_fibula	Dinophysis_acuminata	Dinophysis_miles	Dunaliella_salina	Eucampia_zodiacus	Fibrocapsa_japonica	Gonyaulax_polygramma	Gonyaulax_spinifera	Gonyaulax_verior	Guinardia_flaccida	Gymnodinium_catenatum	Halamphora_coffeiformis	Heterocapsa_triquetra	Heterosigma_akashiwo	Karenia_mikimotoi	Karlodinium_veneficum	Lauderia_annulata	Lepidodinium_chlorophorum	Leptocylindrus_danicus	Levanderina_fissa	Lingulodinium_polyedra	Margalefidinium_fulvescens	Margalefidinium_polykrikoides	Nitzschia_longissima	Noctiluca_scintillans	Plagioselmis_prolonga	Polykrikos_hartmannii	Prorocentrum_cordatum	Prorocentrum_rhathymum	Prorocentrum_triestinum	Protoceratium_reticulatum	Protodinium_simplex	Protoperidinium_crassipes	Prymnesium_parvum	Prymnesium_polylepis	Pseudo-nitzschia_australis	Pseudo-nitzschia_cuspidata	Pseudo-nitzschia_delicatissima	Pseudochattonella_verruculosa	Pseudocochlodinium_profundisulcus	Pyrophacus_steinii	Skeletonema_marinoi	Teleaulax_acuta	Tenuicylindrus_belgicus	Thalassiosira_allenii	Thalassiosira_curviseriata	Thalassiosira_mala	Thalassiosira_pseudonana	Thalassiosira_weissflogii	Tripos_fusus	Akashiwo_sanguinea	Alexandrium_andersonii	Alexandrium_cohorticula	Alexandrium_hiranoi	Alexandrium_ostenfeldii	Alexandrium_tamarense	Amphidinium_klebsii	Asterionellopsis_glacialis	Aureococcus_anophagefferens	Azadinium_poporum	Chaetoceros_curvisetus	Chaetoceros_debilis	Chaetoceros_diadema	Chaetoceros_lorenzianus	Chaetoceros_pseudocurvisetus	Chaetoceros_rostratus	Chaetoceros_simplex	Chaetoceros_socialis	Chaetoceros_tenuissimus	Chaetoceros_throndsenii	Chrysochromulina_leadbeateri	Coscinodiscus_radiatus	Cyclotella_meneghiniana	Cylindrotheca_closterium	Dictyocha_fibula	Dinophysis_acuminata	Dinophysis_miles	Dunaliella_salina	Eucampia_zodiacus	Fibrocapsa_japonica	Gonyaulax_polygramma	Gonyaulax_spinifera	Gonyaulax_verior	Guinardia_flaccida	Gymnodinium_catenatum	Halamphora_coffeiformis	Heterocapsa_triquetra	Heterosigma_akashiwo	Karenia_mikimotoi	Karlodinium_veneficum	Lauderia_annulata	Lepidodinium_chlorophorum	Leptocylindrus_danicus	Levanderina_fissa	Lingulodinium_polyedra	Margalefidinium_fulvescens	Margalefidinium_polykrikoides	Nitzschia_longissima	Noctiluca_scintillans	Plagioselmis_prolonga	Polykrikos_hartmannii	Prorocentrum_cordatum	Prorocentrum_rhathymum	Prorocentrum_triestinum	Protoceratium_reticulatum	Protodinium_simplex	Protoperidinium_crassipes	Prymnesium_parvum	Prymnesium_polylepis	Pseudo-nitzschia_australis	Pseudo-nitzschia_cuspidata	Pseudo-nitzschia_delicatissima	Pseudochattonella_verruculosa	Pseudocochlodinium_profundisulcus	Pyrophacus_steinii	Skeletonema_marinoi	Teleaulax_acuta	Tenuicylindrus_belgicus	Thalassiosira_allenii	Thalassiosira_curviseriata	Thalassiosira_mala	Thalassiosira_pseudonana	Thalassiosira_weissflogii	Tripos_fusus
EnvHKWinMc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	68	0	0	0	201	394	0	0	0	164	1	5	0	0	0	0	0	50	4	7	0	0	0	0	0	0	0	0	0	19	1	63	0	9	1	4	0	21	0	1	1	2	1	13	1	0	0	556	274	0	7	0	3	0	4	0	8	1	0	0	5	9	0	1	0	0	0	0	0	0	0	0	1	0	66	0	0	2	74	1659	2	0	0	14	6	0	0	0	0	5	1	104	6	26	0	0	0	3	1	6	0	0	1	4	15	7	1	7	0	27	0	15	0	1	0	0	0	9	0	0	0	87	33	0	1	0	25	0	2	1
EnvHKWinMc3	5	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	2	274	427	0	0	0	174	3	3	0	0	0	1	1	26	2	5	0	0	0	2	0	2	0	0	0	35	3	79	0	6	0	5	0	48	0	1	0	3	0	13	0	0	1	528	301	0	8	0	10	0	0	0	8	0	0	1	7	19	0	3	0	0	0	0	2	0	0	0	0	1	18	0	0	6	77	1579	11	0	0	19	0	0	0	0	0	7	0	361	5	13	0	0	0	1	0	0	0	0	0	2	30	8	0	6	0	62	0	2	0	0	0	0	1	3	0	0	0	30	42	0	0	0	35	0	0	0
EnvHKWinMc4	4	0	0	0	4	5	0	0	1	0	0	0	0	0	0	0	0	0	100	0	0	3	176	363	10	0	0	123	1	4	0	0	0	3	0	23	3	6	0	0	0	0	0	0	0	0	0	21	7	146	0	8	3	22	0	30	0	1	2	2	0	13	0	0	0	392	479	0	8	0	5	0	4	0	55	1	0	0	9	5	0	1	0	0	0	0	1	0	0	0	0	0	7	0	0	0	10	333	6	0	1	36	8	0	0	0	0	5	0	181	25	36	2	1	0	15	18	7	0	0	1	1	19	16	0	70	0	99	0	34	0	4	0	2	1	3	7	0	0	30	113	0	0	0	88	0	2	0
EnvHKWinMc5	14	0	0	1	8	6	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	2	104	93	5	0	0	113	3	7	0	0	0	4	0	12	17	3	0	0	0	6	2	4	1	0	0	9	4	431	0	27	0	31	0	21	0	6	1	2	0	5	0	0	0	336	1269	0	3	0	40	0	1	2	186	0	0	3	21	62	0	3	0	0	1	0	5	2	0	2	0	1	32	0	0	3	70	380	7	0	0	32	22	8	0	0	0	15	2	97	105	13	4	1	1	31	19	16	0	0	0	0	103	15	6	15	8	263	0	154	0	1	4	0	3	12	12	1	0	15	28	0	5	0	174	0	11	2
EnvHKWinMc6	412	4	0	21	418	477	0	0	0	0	0	0	0	1	0	1	0	0	75	0	0	53	77	79	150	0	11	45	24	7	0	0	7	56	2	26	1	30	1	0	0	21	5	5	0	0	6	3	37	10	1	10	2	23	0	59	0	1	2	0	0	10	0	0	0	68	43	0	2	3	43	0	1	19	78	2	0	1	44	15	0	1	0	1	1	1	14	0	0	0	0	1	126	0	1	3	80	194	10	0	0	5	12	4	0	0	1	13	0	57	60	8	2	2	0	29	2	77	0	0	0	0	143	16	16	17	5	157	0	67	0	4	5	1	1	7	17	0	0	10	16	0	7	0	100	0	6	5
EnvHKWinMc7	183	2	0	13	211	156	0	0	0	0	0	0	0	5	0	0	0	0	35	0	1	61	56	15	500	0	7	23	25	11	0	0	3	153	0	17	1	21	0	0	1	19	1	0	0	0	5	2	26	15	0	9	2	49	0	21	0	1	1	2	1	10	3	1	0	40	27	1	0	4	45	0	5	8	130	0	0	0	13	7	0	1	0	1	0	0	19	0	0	0	0	0	275	0	0	33	183	82	3	0	0	30	29	10	1	1	6	19	0	29	104	9	3	2	0	33	15	11	2	0	0	0	94	25	4	20	9	165	1	159	0	4	5	1	3	42	27	0	0	38	22	4	19	0	81	0	2	5
EnvHKWinMc8	706	0	0	20	434	434	0	0	0	0	0	0	2	7	0	0	0	0	4	0	0	41	29	9	183	0	13	11	37	10	0	0	3	108	1	37	13	11	3	0	1	33	7	2	0	0	6	0	10	30	2	8	0	49	0	71	3	1	7	1	3	8	1	0	0	38	26	0	1	1	60	0	3	24	74	0	0	0	24	1	0	1	0	1	0	0	21	0	0	0	0	0	233	0	0	26	171	103	2	0	0	36	29	5	0	0	0	13	1	32	74	11	1	3	0	48	26	23	0	0	0	6	79	17	25	15	4	157	1	225	0	10	2	2	2	47	30	0	0	77	63	3	10	1	41	1	20	6
EnvHKWinMc9	487	0	0	34	328	1557	0	1	0	0	0	0	0	6	0	0	0	0	8	1	0	23	10	7	105	1	11	10	29	13	0	0	6	77	2	38	22	23	2	0	3	31	8	2	0	0	5	0	31	6	1	6	0	40	0	72	0	1	1	1	0	5	4	0	0	19	3	0	0	0	45	0	4	42	29	1	0	1	18	2	0	1	0	0	0	0	8	0	0	0	0	0	129	0	1	7	63	200	3	0	0	92	7	1	0	1	0	6	0	60	29	13	2	3	1	17	1	1	0	0	3	7	50	19	1	108	5	72	0	27	0	2	12	0	2	20	11	1	0	34	40	0	2	4	23	0	3	2
EnvHKWinMR1	1262	7	0	1	33	54	0	0	1	0	0	0	1	1	0	0	1	0	100	0	0	23	80	45	38	0	4	15	12	1	0	0	1	12	2	92	44	6	16	0	0	21	9	6	3	0	2	1	24	30	2	2	3	66	0	63	0	9	5	1	0	15	1	0	0	15	19	0	9	3	32	0	4	3	30	0	0	0	4	5	0	0	0	1	0	0	0	0	0	0	0	0	26	0	0	0	22	3019	1	0	0	1	3	0	0	0	0	1	0	3	15	1	1	2	0	7	0	21	0	0	0	0	44	3	2	0	3	36	0	22	0	0	1	0	2	1	5	0	0	2	2	1	3	1	23	0	0	1
EnvHKWinPort1	51	2	0	1	47	70	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	28	15	2	0	0	5	4	0	0	0	0	6	1	1	6	21	0	0	2	4	0	0	0	0	0	0	27	3	0	3	0	54	0	10	0	1	2	0	0	1	1	0	0	4	10	1	1	0	26	0	1	0	246	0	0	0	119	16	1	0	0	2	1	0	10	1	0	0	0	0	259	0	0	8	125	203	2	0	0	39	16	1	0	0	0	13	1	58	61	5	3	1	2	50	3	6	0	0	5	6	80	17	2	25	5	208	0	47	2	6	8	0	4	43	21	0	1	77	49	0	10	1	41	0	5	2
EnvHKWinPort2	2546	9	2	1	71	30	1	0	0	0	4	0	2	0	0	0	0	1	9	0	0	2	19	20	5	1	0	55	10	4	0	0	1	10	2	14	20	14	1	1	6	10	9	3	1	0	121	0	65	10	1	12	0	263	0	100	0	1	3	0	2	1	0	0	0	17	32	0	0	0	138	1	1	0	497	27	0	0	99	16	0	1	0	0	1	0	7	1	0	0	0	0	107	0	0	5	142	305	6	1	0	19	13	4	0	0	0	8	5	26	37	18	0	1	6	38	3	13	0	0	18	5	98	15	1	16	0	426	0	36	0	5	10	4	2	11	10	0	1	67	24	1	2	0	82	0	0	2
EnvHKWinPort3	75	1	0	0	16	17	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	0	11	10	3	0	0	21	1	2	0	0	0	2	0	7	11	43	0	0	5	3	3	2	0	0	0	1	23	1	2	5	1	40	0	33	0	1	0	0	0	1	0	0	0	4	1	1	0	1	24	1	6	1	61	0	0	3	22	973	0	2	0	3	0	0	9	0	0	0	0	0	100	0	0	5	250	179	35	0	2	56	6	1	0	0	1	19	1	16	41	5	2	1	1	25	1	0	0	0	0	3	99	29	2	17	1	277	0	21	0	4	4	1	1	21	12	1	0	41	66	0	0	0	109	0	3	1
EnvHKWinPort4	833	4	0	0	145	76	0	2	0	0	2	0	5	1	0	0	0	0	118	0	0	1	64	70	1	0	0	49	14	0	0	0	0	9	6	11	17	25	0	0	16	10	1	41	0	0	12	0	94	3	6	10	2	326	1	99	0	1	1	1	2	2	0	0	0	16	1	0	7	0	42	2	2	3	285	0	0	2	40	39	1	5	1	2	0	0	19	0	0	0	0	1	15	0	0	9	56	33	20	0	0	36	35	15	0	0	0	28	0	12	85	6	4	6	0	50	40	19	1	0	10	1	134	65	10	20	3	368	0	112	0	10	2	2	4	8	36	0	0	70	176	0	3	0	364	0	7	5
EnvHKWinPort5	159	6	0	4	11	16	0	0	1	1	0	2	2	0	0	0	0	1	110	0	1	19	214	63	3	0	2	16	4	1	2	0	0	69	0	1	115	8	22	2	0	27	1	26	1	1	0	2	46	96	6	18	6	75	0	56	1	27	6	3	1	5	1	0	0	28	57	0	5	0	196	0	1	31	607	4	3	5	87	149	0	1	0	3	1	0	11	4	0	0	0	1	12	0	1	5	60	128	5	0	1	44	14	8	0	0	1	16	4	16	80	44	4	1	1	53	22	2	0	0	11	2	128	8	5	12	1	307	2	119	1	5	21	0	2	6	18	0	0	11	16	1	2	0	142	0	14	1
EnvHKWinWWTP1	97	18	0	22	5	4	0	0	0	1	0	0	5	0	0	1	0	1	71	0	0	5	220	48	21	0	1	24	1	2	0	0	0	116	0	8	78	6	2	2	0	28	0	0	0	0	0	7	25	82	0	28	3	106	0	13	1	16	23	4	0	4	3	1	0	40	63	1	3	2	124	0	1	11	71	2	0	2	21	38	0	1	2	2	1	1	15	0	0	0	0	0	52	0	0	9	232	94	28	1	1	56	7	1	0	0	1	15	2	24	20	6	2	2	1	47	0	1	0	0	1	2	146	40	3	22	3	296	0	30	0	7	4	1	2	12	34	2	0	55	64	0	2	0	266	0	3	0
EnvHKWinWWTP2	114	3	1	0	13	6	0	1	1	0	1	0	7	1	0	0	0	1	194	0	0	9	77	59	17	0	0	60	11	2	0	0	1	90	0	10	50	7	5	2	0	56	13	3	0	0	1	5	7	67	5	26	6	153	0	40	0	12	5	5	2	40	6	0	1	67	161	1	1	2	212	0	1	7	304	2	0	0	35	35	1	1	1	2	0	1	5	1	1	1	0	1	8	1	0	38	64	51	12	1	0	31	36	14	0	0	0	25	2	9	66	5	6	5	0	27	43	11	1	0	10	1	57	47	3	22	0	302	0	81	0	2	4	3	6	12	6	0	0	41	193	0	1	2	745	1	4	2
EnvHKWinWWTP3	106	23	0	10	8	19	0	0	4	0	0	0	6	1	0	0	0	1	153	0	0	9	70	32	17	0	0	34	7	6	0	0	0	107	2	5	109	10	9	0	0	35	5	4	0	0	0	3	20	87	3	8	4	128	0	70	0	14	11	3	0	36	4	0	0	47	61	0	1	1	194	0	3	10	154	0	2	1	18	66	0	1	0	6	1	0	6	1	0	0	0	0	13	0	0	17	98	30	5	0	2	142	18	8	0	0	0	17	1	13	111	11	2	2	1	36	23	10	0	0	0	4	92	17	7	14	0	239	0	194	2	5	6	0	1	9	5	0	0	5	37	0	4	1	499	1	23	3
EnvHKWinWWTP4	67	3	0	7	11	13	0	1	0	0	0	0	5	0	0	0	0	0	342	0	0	17	123	104	26	0	0	49	4	4	0	0	0	69	1	5	91	5	6	1	1	35	6	37	0	1	0	5	84	58	3	9	4	98	0	53	0	12	8	1	6	63	5	1	2	97	68	0	2	0	174	0	4	8	124	1	0	3	22	32	0	2	0	4	0	2	1	0	0	0	0	0	213	0	0	35	112	161	10	1	1	23	19	4	0	0	0	20	1	7	100	2	0	2	0	25	6	105	1	0	0	3	167	10	17	9	10	178	0	137	1	1	3	0	7	4	7	0	0	18	46	0	12	0	439	0	5	8
EnvQDSumBeach1	6	0	0	0	1	4	0	1	10	0	0	0	0	0	0	0	0	0	88	0	0	0	1423	3	6	3	0	52	5	2	0	1	0	0	2	13	121	7	0	0	0	2	5	5	0	0	0	0	3	164	1	2	2	12	0	32	0	7	7	1	1	24	10	0	3	5	105	0	0	1	2	0	1	17	13	0	0	2	4	7	0	0	0	0	3	0	1	0	0	0	0	0	56	0	0	1	31	13	3	0	0	27	0	0	0	0	0	5	0	49	3	2	0	1	0	8	0	0	0	0	1	1	4	1	0	6	1	7	0	6	0	2	0	0	0	4	1	0	0	2	2	0	0	0	0	0	0	0
EnvQDSumBeach2	19	0	0	1	0	0	0	0	2	0	2	0	2	0	0	0	0	0	159	0	0	1	1405	4	4	0	0	59	7	4	0	0	0	2	0	6	130	5	1	3	0	6	4	5	2	0	0	0	9	134	2	8	0	35	0	57	0	8	8	0	0	35	6	0	0	2	115	0	0	0	2	0	1	4	10	0	0	0	6	7	0	0	0	0	1	0	3	0	0	0	0	0	57	0	0	1	52	341	3	0	0	16	2	1	0	0	0	3	0	1596	3	1	0	0	0	4	0	0	0	0	0	4	0	1	0	15	0	3	0	1	0	0	0	0	0	4	0	0	0	1	5	0	0	0	2	0	0	0
EnvQDSumBeach4	14	0	0	1	0	1	0	0	3	0	1	0	2	0	0	0	0	0	162	0	0	1	1410	13	5	1	1	90	0	3	0	0	0	2	0	18	181	7	2	0	0	7	0	2	3	0	0	1	10	129	1	7	9	8	0	5	1	5	8	0	0	40	5	0	6	5	116	0	0	1	6	0	0	2	47	0	0	0	21	39	0	0	0	1	6	1	14	0	0	0	0	0	349	0	0	1	152	142	10	0	0	40	6	0	0	0	0	10	0	294	28	2	2	0	0	11	0	1	0	0	1	1	14	3	0	18	1	22	0	9	0	1	2	0	0	47	0	0	0	2	10	0	0	1	1	0	1	2
EnvQDSumBeach5	20	1	0	1	1	4	0	0	7	1	0	0	4	0	1	0	0	2	111	0	1	2	1426	17	2	0	0	52	1	1	0	0	0	4	2	29	312	7	0	0	0	8	0	0	3	0	0	0	14	102	0	4	3	30	0	10	0	7	5	1	0	17	8	1	2	8	109	0	0	0	3	0	0	7	44	0	0	1	15	40	0	0	0	0	1	0	9	0	0	0	0	0	156	0	0	0	286	55	12	0	1	45	0	2	0	2	0	4	2	174	26	5	1	0	0	5	0	1	0	0	0	0	8	24	0	12	2	14	0	8	0	0	7	0	0	48	0	0	0	7	30	0	2	2	1	1	1	3
EnvQDSumEs1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2161	0	0	0	289	10	0	0	0	96	4	0	0	0	0	0	0	11	4	1	0	0	0	1	0	0	1	0	0	1	3	2	0	0	0	2	0	2	0	0	2	0	0	758	0	0	0	7	17	0	0	0	1	0	2	0	7	0	0	0	0	0	0	0	1	1	1	0	8	0	0	0	0	0	950	0	0	2	75	122	0	0	0	76	0	0	0	0	0	1	2	207	24	144	1	0	0	5	0	0	0	0	0	1	4	3	1	109	0	13	0	6	0	0	1	0	0	2	2	0	0	6	6	0	0	0	1	0	0	0
EnvQDSumEs2	4	0	0	0	0	0	0	0	0	0	8	0	4	0	0	0	0	0	1598	0	1	0	479	8	0	0	0	125	1	0	0	0	0	2	0	3	4	0	0	0	0	1	0	0	0	0	0	0	1	3	0	3	0	2	0	1	0	0	1	0	0	683	1	0	0	16	12	0	0	0	1	1	6	0	12	0	0	0	1	1	0	3	2	1	3	0	17	0	0	0	0	1	492	0	0	4	215	119	1	0	0	78	9	1	0	0	0	6	0	206	35	2	2	1	0	19	0	1	0	0	0	6	21	12	0	17	1	43	0	9	0	4	2	0	0	67	5	0	1	3	25	0	0	1	3	2	1	0
EnvQDSumEs3	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1931	0	1	0	146	6	0	0	0	74	4	0	0	0	0	0	0	2	2	0	1	0	0	3	0	0	0	0	0	0	3	7	0	3	0	4	0	2	0	0	0	0	0	624	4	0	0	13	15	0	0	0	0	1	2	1	2	0	0	0	1	0	0	0	0	0	5	0	7	0	0	0	0	0	123	0	0	0	125	132	0	0	0	42	1	0	0	1	0	0	0	345	21	5	0	0	0	5	2	0	0	0	0	2	2	6	6	8	0	14	0	9	0	1	2	1	0	33	2	0	0	5	18	0	1	0	1	1	0	0
EnvQDSumMc1	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1750	7	1	2	527	5	0	0	0	62	13	2	0	0	0	2	0	9	11	1	0	0	0	8	4	2	0	0	0	1	5	4	2	2	0	21	0	24	0	2	0	0	0	1199	3	0	0	15	79	0	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	33	0	0	0	30	13	2	0	0	102	1	1	0	0	0	1	0	15	4	2	0	0	0	1	0	0	0	0	0	1	7	1	0	1	0	2	0	2	0	0	0	0	0	11	2	0	1	4	9	0	0	0	0	0	0	0
EnvQDSumMc2	21	0	0	0	0	0	0	0	1	1	2	0	8	0	0	0	0	0	1083	5	2	2	918	17	0	1	0	64	22	2	0	0	0	2	2	30	48	3	0	3	1	11	7	3	0	0	0	0	15	13	3	2	2	46	0	47	0	3	4	1	0	526	3	0	0	15	270	0	1	0	5	0	0	0	2	0	0	1	1	0	0	0	0	0	2	1	1	0	0	0	0	0	362	0	0	2	50	53	8	0	1	1496	20	1	0	0	0	4	0	282	8	1	0	0	0	4	0	0	0	0	0	1	3	11	0	2	2	6	0	3	0	1	0	0	0	66	2	0	0	13	21	0	0	0	4	0	0	0
EnvQDSumMc4	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3187	2	0	1	703	9	1	0	0	31	8	1	0	0	0	0	0	13	18	1	0	0	0	1	3	2	0	0	0	1	1	3	1	5	0	14	0	23	0	1	1	0	0	34	0	0	0	3	47	0	0	0	2	0	0	0	15	0	0	0	8	14	0	0	0	2	0	0	1	0	0	0	0	0	259	0	0	2	29	110	4	0	0	58	2	0	0	0	0	4	0	840	4	1	0	0	0	4	0	0	0	0	0	3	9	5	2	1	0	12	0	2	0	0	1	0	0	36	1	0	0	17	5	0	0	1	0	0	0	1
EnvQDSumMc5	11	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	3507	0	0	1	366	9	0	0	0	13	8	0	0	1	0	1	0	15	19	0	0	0	0	3	4	3	0	0	0	0	2	2	1	2	1	14	0	34	0	0	1	0	0	60	0	0	0	3	15	0	0	0	0	0	0	0	10	0	0	0	1	8	0	0	0	1	0	0	1	0	0	0	0	0	167	0	0	0	18	53	0	0	0	33	3	0	0	0	0	1	0	1472	9	0	0	1	0	3	0	0	0	0	0	0	7	2	1	1	1	14	0	5	0	1	0	0	0	14	2	0	2	6	4	0	0	0	0	0	0	1
EnvQDSumMR1	7	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3680	0	0	0	312	4	1	0	0	49	0	0	0	0	0	0	0	3	5	0	0	0	0	1	0	1	0	0	0	0	0	11	1	3	0	5	0	1	0	0	1	2	0	5	0	0	0	1	9	0	0	0	0	0	0	1	19	0	0	0	1	0	0	0	0	0	7	0	9	0	0	0	0	0	584	0	0	1	113	40	0	0	0	65	0	0	0	0	0	2	2	52	9	15	0	1	0	8	0	0	0	0	0	1	16	11	1	37	1	20	0	2	0	1	1	0	0	164	10	0	1	17	47	0	0	0	0	0	0	0
EnvQDSumMR2	7	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2029	0	0	0	811	20	1	0	0	162	1	1	0	0	0	2	1	9	10	1	1	0	0	3	2	3	0	0	0	1	5	16	0	5	1	15	0	5	0	5	2	1	0	52	1	2	10	19	20	0	1	0	1	0	0	10	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	106	0	0	0	11	13	0	0	0	18	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	4	0	2	0	0	1	0	0	13	2	0	0	2	3	0	0	0	0	0	0	0
EnvQDSumMR3	6	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	2862	0	0	1	432	21	4	0	0	65	1	0	0	0	0	3	0	18	21	2	0	1	0	3	1	0	0	0	0	1	7	15	0	7	1	23	1	6	0	7	1	0	0	24	2	2	20	13	10	0	0	0	2	1	0	1	13	0	0	0	0	1	0	0	0	1	2	0	6	0	0	0	0	0	934	1	0	0	62	26	0	0	0	38	8	0	0	0	0	3	1	29	16	3	0	2	0	13	0	0	0	0	1	1	22	14	1	31	4	44	0	12	0	4	0	0	0	220	10	0	0	25	26	0	0	0	0	1	4	1
EnvQDSumPort1	10	0	0	1	0	2	0	0	1	0	3	1	1	0	0	0	0	0	115	0	1	1	2243	4	2	0	0	80	0	1	0	0	0	0	0	7	74	5	1	0	0	5	0	0	2	0	0	0	1	56	0	3	0	8	0	1	0	7	4	0	0	13	5	0	0	4	90	0	0	0	1	0	0	1	8	0	0	0	7	4	0	0	0	0	0	0	2	0	0	0	0	0	28	0	0	0	48	2	1	0	0	14	0	0	0	0	0	2	0	16	3	1	0	1	0	2	0	0	0	0	0	1	5	4	0	3	0	5	0	5	0	2	0	0	0	8	4	0	0	1	5	0	0	0	0	0	0	2
EnvQDSumPort2	6	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	260	0	2	2	2123	9	2	0	0	55	1	1	0	0	0	4	1	29	70	11	0	1	0	3	0	0	1	0	0	0	5	61	0	2	0	9	0	2	1	1	8	1	0	64	3	0	0	6	72	0	0	0	0	0	0	3	62	0	0	1	19	44	0	0	0	2	0	0	3	0	0	0	0	0	426	0	1	2	127	54	9	0	0	162	2	1	0	0	0	1	0	281	13	3	2	0	1	7	0	0	0	0	1	3	5	14	2	18	0	16	0	4	0	1	0	0	0	28	5	1	0	8	9	0	0	1	0	0	0	1
EnvQDSumPort3	6	0	0	0	0	0	0	0	3	0	0	0	3	0	1	0	0	0	219	0	1	0	3129	6	0	1	0	50	0	0	0	0	0	2	0	17	26	3	0	0	0	2	0	0	0	0	0	0	4	33	0	4	0	6	0	6	0	4	6	0	0	82	1	0	0	5	19	0	0	0	3	0	0	5	16	0	0	0	0	0	0	1	2	1	0	0	1	0	3	0	0	0	331	0	1	1	153	80	0	0	0	196	3	0	0	0	0	4	1	76	23	6	3	1	0	15	0	0	0	0	0	2	39	17	1	8	0	40	0	18	0	6	10	0	0	143	15	0	0	16	27	0	0	0	4	0	0	1
EnvQDSumPort4	16	1	0	0	0	8	0	0	3	0	4	1	3	0	1	0	0	0	526	0	1	1	1230	4	2	2	0	74	0	0	0	0	0	0	2	5	102	19	0	0	0	3	0	1	0	0	0	0	1	121	0	7	0	15	0	10	0	5	12	0	0	134	1	0	0	8	34	0	0	0	4	0	1	5	21	2	0	0	0	1	0	1	1	5	0	1	5	0	0	0	0	0	102	0	1	2	83	1113	1	0	0	745	6	0	0	0	0	8	0	76	41	3	1	1	0	23	0	0	0	0	0	0	46	11	4	8	2	53	0	15	0	2	2	0	0	15	18	0	0	3	34	0	0	0	2	1	0	1
EnvQDSumPort5	11	0	0	0	0	3	0	0	7	0	1	1	2	0	0	0	0	0	205	1	4	2	1949	1	3	6	0	86	0	0	0	0	0	0	6	1	69	24	1	0	0	4	1	0	0	0	0	0	4	111	0	6	1	9	0	7	0	13	14	0	1	44	1	0	0	4	25	0	0	1	3	0	1	10	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	80	0	0	0	44	56	0	0	0	11	1	0	0	0	0	0	0	101	7	0	0	0	0	1	0	0	0	0	0	2	5	3	0	3	0	8	0	1	0	0	0	0	0	5	4	0	0	6	0	0	0	0	1	0	0	1
EnvQDSumWWTP1	5	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1894	0	0	3	840	8	0	0	0	115	6	2	2	0	0	3	0	70	34	20	0	0	0	0	4	2	0	0	0	0	4	36	0	6	2	23	0	5	0	0	6	0	1	327	0	0	14	11	14	0	2	0	26	0	1	3	28	1	0	1	10	12	0	0	1	2	1	1	4	0	0	0	0	0	229	0	0	12	115	86	10	1	0	56	9	1	0	0	1	12	1	491	50	2	1	0	0	17	0	0	0	0	0	6	60	28	1	16	1	75	0	19	0	4	2	0	0	35	16	1	0	22	62	1	0	0	12	0	2	5
EnvQDSumWWTP2	5	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	1	2485	0	0	4	483	14	1	0	0	162	12	0	0	0	0	0	0	6	9	7	0	0	0	0	3	3	0	0	0	0	6	16	2	2	1	45	0	19	0	0	2	0	1	531	0	0	6	13	7	0	0	0	25	0	2	0	5	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	69	1	0	1	36	313	4	0	1	34	0	0	0	0	0	5	0	354	7	1	0	0	0	4	0	1	0	0	0	29	10	7	1	5	0	7	0	4	0	0	0	0	0	3	0	0	0	6	6	0	0	0	1	0	0	1
