SampleID,Treat,pH,Salinity,DOC,Temp,NO3,PO43
PlaHKWinMc5,Plastisphere,7.41,29.41,8.466,21.869,1.8,1.21
PlaHKWinMc6,Plastisphere,7.53,29.69,17.86,22.026,1.4,1.15
PlaHKWinMc7,Plastisphere,7.95,34.33,4.122,16.185,1.3,0.27
PlaHKWinMc8,Plastisphere,7.91,34.54,3.753,16.158,1.8,0.15
PlaHKWinMc9,Plastisphere,7.86,34.54,3.813,16.189,1.6,0.27
PlaHKWinMR1,Plastisphere,7.88,34.54,2.73,16.099,1.4,0.08
PlaHKWinPort1,Plastisphere,7.89,26.19,2.792,17.456,1.1,1.65
PlaHKWinPort2,Plastisphere,7.99,34.07,2.751,18.402,1,0.46
PlaHKWinPort3,Plastisphere,8.09,33.35,3.046,18.689,1.2,0.41
PlaHKWinPort4,Plastisphere,8.02,34.42,2.396,18.569,1,0.69
PlaHKWinPort5,Plastisphere,7.99,35.34,4.131,18.16,1.2,0.31
PlaHKWinWWTP1,Plastisphere,7.84,35.03,3.843,17.881,0.9,0.47
PlaHKWinWWTP2,Plastisphere,7.84,34.58,3.611,17.894,0.8,0.58
PlaHKWinWWTP3,Plastisphere,7.83,34.08,4.325,18.35,1.6,0.36
PlaHKWinWWTP4,Plastisphere,7.8,33.95,4.191,18.113,1.5,0.52
PlaQDSumBeach1,Plastisphere,8.3,24.5,1.3821,27.5,0.171,0.189
PlaQDSumBeach2,Plastisphere,8.2,24,1.066,27.7,0.035,0.318
PlaQDSumBeach4,Plastisphere,8.2,24.4,2.1802,27.8,0.039,0.19
PlaQDSumBeach5,Plastisphere,8.3,23.9,1.1783,28,0.085,0.239
PlaQDSumEs1,Plastisphere,8.6,19.6,3.0857,30.8,0.498,0.134
PlaQDSumEs2,Plastisphere,8.7,18.2,3.1053,30.8,0.619,0.142
PlaQDSumEs3,Plastisphere,8.9,20.6,1.564,30.3,0.34,0.222
PlaQDSumMc1,Plastisphere,8.2,23.2,1.8028,30.7,0.099,0.211
PlaQDSumMc2,Plastisphere,8.2,23.1,1.7373,31.3,0.104,0.308
PlaQDSumMc4,Plastisphere,8.2,23.4,1.79,31.6,0.094,0.273
PlaQDSumMc5,Plastisphere,8.3,24.6,2.2215,28.7,0.009,0.245
PlaQDSumMR1,Plastisphere,8.3,24.4,1.3169,28.2,0.009,0.267
PlaQDSumMR2,Plastisphere,8.4,25.1,0.8786,28.3,0.01,0.238
PlaQDSumMR3,Plastisphere,8.4,25.1,0.9713,28,0.01,0.332
PlaQDSumPort1,Plastisphere,8.1,23.5,0.6984,27.8,0.02,0.209
PlaQDSumPort2,Plastisphere,8.1,24.1,1.5084,29.5,0.075,0.218
PlaQDSumPort3,Plastisphere,8.2,24.3,1.6302,28.2,0.201,0.151
PlaQDSumPort4,Plastisphere,8.2,24.2,0.5761,28.9,0.069,0.272
PlaQDSumPort5,Plastisphere,8.3,24.3,0.08,27.8,0.005,0.32
PlaQDSumWWTP1,Plastisphere,7.9,24.3,2.1985,30.8,0.272,0.166
PlaQDSumWWTP2,Plastisphere,8.2,24.3,0.9544,28.5,0.183,0.223
PlaQDSumWWTP3,Plastisphere,8.2,24.6,1.0662,28.4,0.143,0.262
PlaQDSumWWTP4,Plastisphere,8.1,24.8,1.0851,28.1,0.076,0.21
PlaQDSumWWTP5,Plastisphere,8.2,24.8,1.0615,28,0.051,0.273
PlaQDWinBeach1,Plastisphere,8.5,27.8,6.11,6.2,0.008,0.108
PlaQDWinBeach2,Plastisphere,8.49,27.7,6.155,7,0.008,0.128
PlaQDWinBeach3,Plastisphere,8.52,27.7,5.297,6.6,0.228,0.12
PlaQDWinBeach4,Plastisphere,8.51,27.7,5.67,7,0.016,0.082
PlaQDWinBeach5,Plastisphere,8.5,27.8,5.807,6.1,0.011,0.003
PlaQDWinEs1,Plastisphere,8.08,11.2,19.015,7.2,2.701,0.098
PlaQDWinEs2,Plastisphere,8.1,8.44,19.468,7.5,5.555,0.166
PlaQDWinEs3,Plastisphere,8.37,13.7,20.168,7.2,5.08,0.116
PlaQDWinEs4,Plastisphere,8.42,8.72,19.153,7.4,8.502,0.14
PlaQDWinEs5,Plastisphere,8.38,8.66,18.007,7.6,3.181,0.099
PlaQDWinMc1,Plastisphere,8.49,27.3,6.836,4.5,0.045,0.152
PlaQDWinMc2,Plastisphere,8.5,28.1,6.532,4.6,0.025,0.12
PlaQDWinMc3,Plastisphere,8.52,27.8,6.154,5.1,0.042,0.117
PlaQDWinMc4,Plastisphere,8.5,27.5,4.525,5,0.027,0.098
PlaQDWinMc5,Plastisphere,8.52,26.9,6.406,6.8,0.075,0.106
PlaQDWinMR1,Plastisphere,8.5,27,4.551,6.2,0.017,0.001
PlaQDWinMR2,Plastisphere,8.52,26.8,5.511,5.5,0.007,0.002
PlaQDWinMR3,Plastisphere,8.49,27.6,5.877,6.3,0.001,0.001
PlaQDWinMR4,Plastisphere,8.53,27.2,5.215,5.6,0.008,0.003
PlaQDWinMR5,Plastisphere,8.49,26.9,5.876,6.1,0.01,0.001
PlaQDWinPort1,Plastisphere,8.46,26.9,7.147,6.1,0.008,0.001
PlaQDWinPort2,Plastisphere,8.45,27.3,7.658,5.9,0.018,0.001
PlaQDWinPort3,Plastisphere,8.44,27.6,11.553,5.7,0.036,0.001
PlaQDWinPort4,Plastisphere,8.49,27.7,3.473,6.3,0.066,0.001
PlaQDWinPort5,Plastisphere,8.46,27.2,3.855,5.7,0.121,0.001
PlaQDWinWWTP1,Plastisphere,8.42,27,8.437,5.7,0.251,0.079
PlaQDWinWWTP2,Plastisphere,8.44,26.7,7.571,6.3,0.285,0.093
PlaQDWinWWTP3,Plastisphere,8.44,26.7,8.144,6,0.357,0.074
PlaQDWinWWTP4,Plastisphere,8.44,26.7,7.348,6.7,0.327,0.081
PlaQDWinWWTP5,Plastisphere,8.42,26.7,7.878,6.2,0.245,0.117
