sample,Akashiwo.sanguinea,Alexandrium.andersonii,Alexandrium.hiranoi,Alexandrium.ostenfeldii,Alexandrium.tamarense,Amphidinium.klebsii,Azadinium.poporum,Chrysochromulina.leadbeateri,Dinophysis.acuminata,Dinophysis.miles,Fibrocapsa.japonica,Gonyaulax.spinifera,Gymnodinium.catenatum,Heterosigma.akashiwo,Karenia.mikimotoi,Karlodinium.veneficum,Lingulodinium.polyedra,Margalefidinium.fulvescens,Margalefidinium.polykrikoides,Polykrikos.hartmannii,Prorocentrum.cordatum,Prorocentrum.rhathymum,Protoceratium.reticulatum,Protoperidinium.crassipes,Prymnesium.parvum,Prymnesium.polylepis,Pseudo.nitzschia.australis,Pseudo.nitzschia.cuspidata,Pseudo.nitzschia.delicatissima,Pseudochattonella.verruculosa,Alexandrium.cohorticula,Asterionellopsis.glacialis,Aureococcus.anophagefferens,Chaetoceros.curvisetus,Chaetoceros.debilis,Chaetoceros.diadema,Chaetoceros.lorenzianus,Chaetoceros.pseudocurvisetus,Chaetoceros.rostratus,Chaetoceros.simplex,Chaetoceros.socialis,Chaetoceros.tenuissimus,Chaetoceros.throndsenii,Coscinodiscus.radiatus,Cyclotella.meneghiniana,Cylindrotheca.closterium,Dictyocha.fibula,Dunaliella.salina,Eucampia.zodiacus,Gonyaulax.polygramma,Gonyaulax.verior,Guinardia.flaccida,Halamphora.coffeiformis,Heterocapsa.triquetra,Lauderia.annulata,Lepidodinium.chlorophorum,Leptocylindrus.danicus,Levanderina.fissa,Nitzschia.longissima,Noctiluca.scintillans,Plagioselmis.prolonga,Prorocentrum.triestinum,Protodinium.simplex,Pseudocochlodinium.profundisulcus,Pyrophacus.steinii,Skeletonema.marinoi,Teleaulax.acuta,Tenuicylindrus.belgicus,Thalassiosira.allenii,Thalassiosira.curviseriata,Thalassiosira.mala,Thalassiosira.pseudonana,Thalassiosira.weissflogii,Tripos.fusus
PlaQDSumWWTP4,-0.357360852,-0.280077147,-0.313097654,-0.267642122,-0.214592355,-0.174143286,-0.07313251,-0.418610187,-0.350317999,-0.254397594,-0.364868856,-0.283548616,-0.460044146,-0.488227171,-0.5060003,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.34832932,-0.686148242,-0.679259615,-0.18931505,-0.308086047,-0.628945507,-0.80758897,-0.406504961,-0.291484372,-0.275644148,-0.307471892,-0.1535903,-0.326679014,-0.442789047,-0.08461346,-0.354664883,-0.402879037,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.365043214,-0.240655382,-0.218948111,-0.454503211,0.32146587,-0.177212261,-0.315459626,-0.451174989,-0.259120905,-0.219832219,-0.369301499,4.282972214,-0.575064215,-0.242098282,-0.557247269,-0.286311085,-0.331608253,3.516108722,-0.528687447,-0.528864204,-0.421681426,-0.336756598,-0.282311608,-0.219401136,-0.399615612,-0.417142757,-0.40408093,-0.408138045,-0.536446415,-0.313713968,-0.283899721,-0.131800013,-0.306802226
PlaQDSumWWTP5,-0.290765692,-0.280077147,-0.093212279,-0.185619886,-0.148464414,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,-0.364868856,2.785448168,-0.460044146,-0.354545922,-0.5060003,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.34832932,-0.223226895,-0.370657716,-0.18931505,-0.308086047,-0.281941089,-0.290732029,-0.406504961,-0.291484372,0.1886462,-0.343483877,-0.1535903,-0.326679014,0.284650101,0.10073031,-0.354664883,0.051594863,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.112306766,-0.240655382,-0.175952965,-0.012229364,-0.30509462,0.170658181,-0.004650459,-0.26495651,-0.259120905,-0.219832219,-0.102301594,0.006110094,-0.142506666,-0.242098282,-0.501385925,-0.245153866,-0.331608253,-0.122451548,-0.349032382,0.405666584,-0.397037582,-0.276645887,-0.282311608,-0.219401136,-0.127184072,0.21719003,-0.40408093,-0.408138045,-0.536446415,-0.285793949,0.422013099,-0.149592532,0.630709676
PlaQDWinBeach1,-0.369847445,-0.280077147,-0.313097654,-0.284046569,-0.207979561,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,-0.364868856,-0.283548616,-0.460044146,-0.354545922,-0.251617635,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.34832932,-0.433645689,-0.679259615,-0.18931505,-0.308086047,-0.628945507,-0.5491605,-0.406504961,-0.291484372,-0.275644148,-0.091399983,-0.1535903,-0.326679014,-0.442789047,-0.269957231,-0.354664883,-0.402879037,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.433087642,-0.240655382,-0.204616396,-0.430771444,-0.265934589,-0.269977713,-0.265576674,-0.488418685,-0.259120905,-0.219832219,-0.42270148,-0.415486391,-0.533868258,-0.242098282,-0.501385925,-0.286311085,-0.377692783,-0.542285425,-0.42467662,-0.504901877,-0.393517033,-0.336756598,-0.282311608,-0.219401136,-0.399615612,-0.408208492,-0.40408093,-0.408138045,-0.066417175,-0.308637601,-0.283899721,-0.131800013,-0.306802226
PlaQDWinBeach2,-0.382334038,-0.280077147,-0.313097654,-0.284046569,-0.214592355,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,-0.364868856,-0.283548616,-0.460044146,-0.488227171,-0.251617635,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.34832932,-0.559896965,-0.679259615,-0.18931505,-0.308086047,-0.628945507,-0.80758897,-0.406504961,-0.291484372,-0.310292682,-0.343483877,-0.1535903,-0.326679014,-0.442789047,-0.269957231,-0.354664883,-0.453376137,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.392585006,-0.240655382,-0.204616396,-0.456660645,-0.34425465,-0.269977713,-0.246390923,-0.488418685,-0.259120905,-0.219832219,-0.449401471,-0.396748769,-0.575064215,-0.242098282,-0.557247269,-0.286311085,-0.377692783,-0.402340799,-0.509776388,-0.552826532,-0.421681426,-0.342221208,-0.282311608,-0.219401136,-0.426858766,-0.417142757,-0.40408093,-0.408138045,-0.536446415,-0.313713968,-0.283899721,-0.114007495,-0.306802226
PlaQDWinBeach3,-0.37817184,-0.280077147,-0.313097654,-0.284046569,-0.214592355,-0.174143286,-0.07313251,0.844082837,-0.350317999,-0.254397594,-0.255348677,-0.283548616,-0.460044146,-0.354545922,0.002765029,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.34832932,-0.307394412,-0.679259615,-0.18931505,-0.308086047,-0.281941089,-0.5491605,-0.406504961,-0.291484372,-0.199417375,-0.307471892,-0.1535903,-0.326679014,-0.442789047,-0.177285346,-0.354664883,-0.453376137,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.386104585,-0.240655382,-0.089962671,-0.452345778,-0.29304538,-0.269977713,-0.307785326,-0.339443901,-0.259120905,-0.219832219,-0.289201528,-0.359273526,-0.492672301,-0.242098282,-0.473455252,-0.286311085,-0.377692783,-0.122451548,-0.358487911,-0.480939549,-0.407599229,-0.331291988,-0.282311608,-0.219401136,-0.263399842,-0.354602905,-0.40408093,-0.408138045,2.753758262,-0.273103032,-0.283899721,-0.096214977,-0.306802226
PlaQDWinBeach4,-0.374009642,-0.280077147,-0.313097654,-0.284046569,-0.214592355,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,-0.364868856,-0.283548616,-0.460044146,-0.421386547,-0.5060003,-0.210802545,-0.259032549,-0.186706385,-0.153540608,-0.34832932,-0.644064483,-0.679259615,-0.18931505,-0.308086047,-0.628945507,-0.80758897,-0.406504961,-0.291484372,-0.344941215,-0.235447923,-0.1535903,-0.326679014,-0.442789047,-0.269957231,-0.354664883,-0.503873237,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.429847432,-0.240655382,-0.204616396,-0.458818078,-0.287020759,-0.269977713,-0.334645377,-0.451174989,-0.259120905,-0.219832219,-0.449401471,-0.34522031,-0.533868258,-0.242098282,-0.557247269,-0.286311085,-0.377692783,-0.542285425,-0.500320858,-0.57678886,-0.414640327,-0.336756598,-0.282311608,-0.219401136,-0.399615612,-0.46181408,-0.40408093,-0.408138045,-0.066417175,-0.306099418,-0.283899721,-0.131800013,-0.306802226
PlaQDWinBeach5,-0.365685247,-0.280077147,-0.313097654,-0.284046569,-0.214592355,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,-0.364868856,-0.283548616,0.00505543,-0.421386547,-0.5060003,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.26183459,-0.644064483,-0.679259615,-0.18931505,-0.308086047,-0.455443298,-0.80758897,-0.406504961,-0.09284317,-0.344941215,-0.307471892,-0.1535903,-0.326679014,-0.442789047,0.008058425,0.492846006,-0.453376137,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.358562792,-0.240655382,-0.19028468,-0.426456577,-0.106282157,-0.269977713,-0.284762425,-0.488418685,-0.259120905,-0.219832219,-0.449401471,-0.382695553,-0.564765225,-0.242098282,-0.417593908,-0.286311085,-0.377692783,-0.542285425,-0.443587679,-0.480939549,-0.400558131,-0.342221208,-0.282311608,-0.219401136,-0.399615612,-0.426077022,-0.40408093,-0.408138045,-0.536446415,-0.290870317,-0.283899721,-0.06062994,-0.306802226
PlaQDWinEs1,-0.37817184,-0.280077147,-0.313097654,-0.284046569,-0.214592355,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,-0.364868856,-0.283548616,-0.460044146,-0.488227171,-0.5060003,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.34832932,-0.39156193,-0.679259615,-0.18931505,-0.308086047,-0.628945507,-0.80758897,-0.406504961,-0.291484372,-0.282573855,-0.343483877,-0.1535903,-0.326679014,-0.442789047,-0.177285346,0.492846006,-0.402879037,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.408786061,-0.240655382,-0.218948111,-0.467447812,-0.271959209,-0.269977713,-0.20418227,-0.488418685,-0.259120905,-0.219832219,-0.449401471,-0.251532202,-0.513270279,-0.242098282,-0.529316597,-0.286311085,-0.1011856,4.635665729,-0.453043209,-0.552826532,-0.386475934,-0.342221208,-0.282311608,-0.219401136,-0.372372458,-0.46181408,-0.40408093,-0.408138045,-0.536446415,-0.311175785,0.069056689,-0.149592532,-0.306802226
PlaQDWinEs2,-0.37817184,-0.280077147,-0.313097654,-0.284046569,-0.214592355,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,0.620812751,-0.283548616,-0.460044146,-0.421386547,-0.5060003,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.34832932,0.408029488,-0.679259615,-0.18931505,-0.308086047,-0.455443298,-0.290732029,-0.406504961,-0.291484372,-0.324152095,-0.307471892,-0.1535903,-0.326679014,-0.442789047,-0.08461346,0.492846006,-0.453376137,-0.269748049,-0.187004405,-0.258212072,-0.17340946,0.319456951,-0.42336701,-0.240655382,-0.19028468,-0.407039676,0.270256599,-0.269977713,-0.234879472,-0.451174989,-0.259120905,-0.219832219,-0.42270148,0.076376175,-0.482373311,-0.242098282,-0.473455252,-0.286311085,-0.239439191,1.416939336,-0.43413215,-0.57678886,-0.358311541,-0.331291988,-0.282311608,-0.219401136,-0.345129304,-0.363537169,-0.40408093,-0.408138045,0.403612064,-0.301023051,0.422013099,-0.149592532,-0.23983709
PlaQDWinEs3,-0.37817184,-0.280077147,-0.313097654,-0.284046569,-0.214592355,-0.174143286,-0.436818508,-0.418610187,-0.350317999,-0.254397594,-0.364868856,-0.283548616,-0.460044146,-0.488227171,-0.5060003,-0.493924212,-0.259032549,-0.186706385,-0.153540608,-0.34832932,-0.517813206,-0.370657716,-0.18931505,-0.308086047,-0.628945507,-0.80758897,-0.406504961,-0.291484372,-0.310292682,-0.307471892,-0.1535903,-0.326679014,-0.442789047,-0.08461346,-0.354664883,-0.503873237,-0.269748049,-0.187004405,-0.258212072,-0.17340946,-0.268343839,-0.386104585,-0.240655382,-0.204616396,-0.465290378,0.008185625,-0.269977713,-0.280925275,-0.451174989,-0.259120905,-0.219832219,-0.449401471,-0.200003743,-0.533868258,-0.242098282,-0.473455252,-0.245153866,-0.009016539,2.536496342,-0.358487911,-0.552826532,-0.36183209,-0.331291988,-0.282311608,-0.219401136,-0.426858766,-0.443945551,-0.40408093,-0.237073352,-0.536446415,-0.303561234,-0.283899721,-0.149592532,-0.306802226
