sample,Akashiwo sanguinea,Alexandrium andersonii,Alexandrium hiranoi,Alexandrium ostenfeldii,Alexandrium tamarense,Amphidinium klebsii,Azadinium poporum,Chrysochromulina leadbeateri,Dinophysis acuminata,Dinophysis miles,Fibrocapsa japonica,Gonyaulax spinifera,Gymnodinium catenatum,Heterosigma akashiwo,Karenia mikimotoi,Karlodinium veneficum,Lingulodinium polyedra,Margalefidinium fulvescens,Margalefidinium polykrikoides,Polykrikos hartmannii,Prorocentrum cordatum,Prorocentrum rhathymum,Protoceratium reticulatum,Protoperidinium crassipes,Prymnesium parvum,Prymnesium polylepis,Pseudo-nitzschia australis,Pseudo-nitzschia cuspidata,Pseudo-nitzschia delicatissima,Pseudochattonella verruculosa,Alexandrium cohorticula,Asterionellopsis glacialis,Aureococcus anophagefferens,Chaetoceros curvisetus,Chaetoceros debilis,Chaetoceros diadema,Chaetoceros lorenzianus,Chaetoceros pseudocurvisetus,Chaetoceros rostratus,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros tenuissimus,Chaetoceros throndsenii,Coscinodiscus radiatus,Cyclotella meneghiniana,Cylindrotheca closterium,Dictyocha fibula,Dunaliella salina,Eucampia zodiacus,Gonyaulax polygramma,Gonyaulax verior,Guinardia flaccida,Halamphora coffeiformis,Heterocapsa triquetra,Lauderia annulata,Lepidodinium chlorophorum,Leptocylindrus danicus,Levanderina fissa,Nitzschia longissima,Noctiluca scintillans,Plagioselmis prolonga,Prorocentrum triestinum,Protodinium simplex,Pseudocochlodinium profundisulcus,Pyrophacus steinii,Skeletonema marinoi,Teleaulax acuta,Tenuicylindrus belgicus,Thalassiosira allenii,Thalassiosira curviseriata,Thalassiosira mala,Thalassiosira pseudonana,Thalassiosira weissflogii,Tripos fusus
EnvHKWinEs1,507,0,0,5,5,0,0,0,0,0,90,0,6,23,0,3,9,2,1,65,0,8,1,0,0,8,0,6,60,0,0,7,0,0,0,3,0,0,0,0,1,61,1,1,190,7,18,5,222,1,0,24,3,459,0,53,234,115,0,158,12,490,712,2,0,9,19,3,0,0,30,0,0,1
EnvHKWinEs2,400,0,1,3,5,0,0,0,0,0,45,0,7,12,2,11,15,0,0,54,1,5,0,0,1,7,2,3,34,0,0,11,0,0,0,7,0,0,0,0,0,64,0,1,141,3,12,2,91,0,0,11,1,625,0,70,139,78,0,98,5,476,1305,1,0,7,10,0,0,0,19,0,0,5
EnvHKWinEs4,212,0,0,0,1,0,0,0,0,0,53,0,0,17,1,15,5,1,0,58,2,4,0,0,0,8,1,6,40,1,0,8,1,0,0,0,0,0,0,0,0,84,2,3,160,2,18,1,153,0,0,13,2,730,0,40,132,106,0,125,4,416,1149,0,0,6,8,0,0,0,10,0,1,4
EnvHKWinEs5,172,0,4,0,0,0,0,0,0,0,31,0,5,8,2,17,6,0,0,104,4,1,0,0,1,6,0,5,31,1,0,8,0,0,0,9,0,0,1,0,0,90,0,0,136,11,8,4,215,0,0,10,1,434,0,75,110,78,0,72,5,460,1601,0,0,5,12,3,1,0,3,0,3,2
EnvHKWinMc1,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,42,0,0,0,0,1,4,0,8,0,0,0,0,1,0,0,0,0,0,0,0,58,0,2,145,262,0,146,5,0,0,1,37,6,0,1,4,3,16,2,40,5,33,0,0,346,307,0,4,0,6,0,1,1
EnvHKWinMc10,482,0,31,378,693,0,0,0,0,25,4,0,7,7,1,0,1,0,10,6,3,0,0,1,1,1,0,2,0,1,0,3,0,0,0,0,8,0,0,0,0,63,0,31,42,66,120,13,21,0,2,76,64,21,2,25,1,29,1,55,7,68,54,1,0,28,11,0,3,1,45,0,5,62
EnvHKWinMc11,233,0,4,27,104,0,0,0,0,5,5,0,8,3,3,1,2,1,1,5,8,3,0,0,0,1,3,1,17,0,0,6,0,0,0,1,0,0,1,0,0,51,0,83,67,24,51,52,14,0,0,227,52,91,0,17,14,7,4,204,15,197,119,1,0,27,63,3,2,0,376,0,18,84
EnvHKWinMc12,341,0,12,18,41,0,0,0,0,11,3,0,3,3,6,2,0,2,1,6,9,10,0,1,4,1,5,0,10,0,0,1,0,0,0,2,0,0,3,1,1,108,0,78,72,101,81,27,1,1,0,251,36,47,1,5,7,35,2,307,26,84,39,0,0,31,35,2,3,1,305,0,2,87
EnvHKWinMc13,212,0,4,6,28,0,0,1,0,4,3,0,4,3,2,1,0,0,0,2,5,6,0,0,6,2,2,0,25,0,0,0,1,0,1,3,0,0,1,3,0,176,0,87,102,55,55,28,11,1,0,166,53,56,0,4,13,10,5,228,26,65,67,1,0,39,51,0,10,1,333,0,4,93
EnvHKWinMc15,107,1,3,26,20,0,0,0,0,5,4,0,1,3,1,0,0,0,0,1,15,4,0,0,1,2,5,1,27,2,0,0,0,0,0,0,1,0,0,0,1,172,0,82,82,63,63,38,12,2,0,217,96,28,1,1,1,4,4,141,16,42,18,1,0,67,83,1,3,0,450,0,5,110
EnvHKWinMc2,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,9,1,0,0,1,1,2,1,13,1,0,0,0,0,0,0,0,0,0,0,2,68,0,0,201,394,0,164,1,0,0,0,50,4,0,0,0,0,19,1,63,4,21,0,0,556,274,0,7,0,3,0,4,0
EnvHKWinMc3,5,0,0,2,2,0,0,0,0,0,3,0,1,5,0,0,0,0,0,0,6,0,0,0,1,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,68,0,2,274,427,0,174,3,0,0,1,26,2,0,2,0,2,35,3,79,5,48,0,1,528,301,0,8,0,10,0,0,0
EnvHKWinMc4,4,0,0,4,5,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,8,3,0,0,1,2,2,0,13,0,0,0,1,0,0,0,0,0,0,0,0,100,0,3,176,363,10,123,1,0,0,3,23,3,0,0,0,0,21,7,146,22,30,0,0,392,479,0,8,0,5,0,4,0
EnvHKWinMc5,14,0,1,8,6,0,0,0,0,0,7,0,0,3,0,0,1,0,0,0,27,0,0,0,6,1,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,9,0,2,104,93,5,113,3,0,0,4,12,17,0,6,2,4,9,4,431,31,21,0,0,336,1269,0,3,0,40,0,1,2
EnvHKWinMc6,412,4,21,418,477,0,0,0,0,11,7,0,2,30,1,0,0,0,6,1,10,2,0,0,1,2,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,75,0,53,77,79,150,45,24,0,7,56,26,1,0,21,5,5,3,37,10,23,59,0,0,68,43,0,2,3,43,0,1,19
EnvHKWinMc7,183,2,13,211,156,0,0,1,0,7,11,0,0,21,0,0,0,0,5,0,9,2,0,0,1,1,2,1,10,3,0,0,0,0,0,0,5,0,0,0,0,35,0,61,56,15,500,23,25,0,3,153,17,1,1,19,1,0,2,26,15,49,21,1,0,40,27,1,0,4,45,0,5,8
EnvHKWinMc8,706,0,20,434,434,0,0,0,0,13,10,0,1,11,3,0,0,0,6,2,8,0,0,3,1,7,1,3,8,1,0,0,0,0,0,2,7,0,0,0,0,4,0,41,29,9,183,11,37,0,3,108,37,13,1,33,7,2,0,10,30,49,71,0,0,38,26,0,1,1,60,0,3,24
EnvHKWinMc9,487,0,34,328,1557,0,0,0,1,11,13,0,2,23,2,0,0,0,5,1,6,0,0,0,1,1,1,0,5,4,0,1,0,0,0,0,6,0,0,0,0,8,1,23,10,7,105,10,29,0,6,77,38,22,3,31,8,2,0,31,6,40,72,0,0,19,3,0,0,0,45,0,4,42
EnvHKWinMR1,1262,7,1,33,54,0,0,0,0,4,1,0,2,6,16,0,3,0,2,2,2,3,0,0,9,5,1,0,15,1,0,0,1,0,0,1,1,0,0,1,0,100,0,23,80,45,38,15,12,0,1,12,92,44,0,21,9,6,1,24,30,66,63,0,0,15,19,0,9,3,32,0,4,3
EnvHKWinPort1,51,2,1,47,70,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,3,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,28,15,2,5,4,0,0,6,1,6,2,4,0,0,0,27,3,54,10,0,0,4,10,1,1,0,26,0,1,0
EnvHKWinPort2,2546,9,1,71,30,1,0,0,1,0,4,0,2,14,1,1,1,0,121,1,12,0,0,0,1,3,0,2,1,0,2,0,0,4,0,2,0,0,0,0,1,9,0,2,19,20,5,55,10,0,1,10,14,20,6,10,9,3,0,65,10,263,100,0,0,17,32,0,0,0,138,1,1,0
EnvHKWinPort3,75,1,0,16,17,0,0,0,0,0,2,0,0,43,0,0,0,0,0,2,5,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,11,10,3,21,1,0,0,2,7,11,5,3,3,2,1,23,1,40,33,0,0,4,1,1,0,1,24,1,6,1
EnvHKWinPort4,833,4,0,145,76,0,0,0,0,0,0,0,6,25,0,0,0,0,12,6,10,2,1,0,1,1,1,2,2,0,0,2,0,2,0,5,1,0,0,0,0,118,0,1,64,70,1,49,14,0,0,9,11,17,16,10,1,41,0,94,3,326,99,0,0,16,1,0,7,0,42,2,2,3
EnvHKWinPort5,159,6,4,11,16,0,1,1,0,2,1,0,0,8,22,2,1,1,0,6,18,6,0,1,27,6,3,1,5,1,0,0,1,0,2,2,0,0,0,0,1,110,0,19,214,63,3,16,4,2,0,69,1,115,0,27,1,26,2,46,96,75,56,0,0,28,57,0,5,0,196,0,1,31
EnvHKWinWWTP1,97,18,22,5,4,0,1,0,0,1,2,0,0,6,2,2,0,0,0,0,28,3,0,1,16,23,4,0,4,3,0,0,0,0,0,5,0,0,1,0,1,71,0,5,220,48,21,24,1,0,0,116,8,78,0,28,0,0,7,25,82,106,13,1,0,40,63,1,3,2,124,0,1,11
EnvHKWinWWTP2,114,3,0,13,6,0,0,0,0,0,2,0,0,7,5,2,0,0,1,5,26,6,0,0,12,5,5,2,40,6,1,1,1,1,0,7,1,0,0,0,1,194,0,9,77,59,17,60,11,0,1,90,10,50,0,56,13,3,5,7,67,153,40,0,1,67,161,1,1,2,212,0,1,7
EnvHKWinWWTP3,106,23,10,8,19,0,0,0,0,0,6,0,2,10,9,0,0,0,0,3,8,4,0,0,14,11,3,0,36,4,0,0,4,0,0,6,1,0,0,0,1,153,0,9,70,32,17,34,7,0,0,107,5,109,0,35,5,4,3,20,87,128,70,0,0,47,61,0,1,1,194,0,3,10
EnvHKWinWWTP4,67,3,7,11,13,0,0,0,0,0,4,0,1,5,6,1,0,1,0,3,9,4,0,0,12,8,1,6,63,5,0,1,0,0,0,5,0,0,0,0,0,342,0,17,123,104,26,49,4,0,0,69,5,91,1,35,6,37,5,84,58,98,53,1,2,97,68,0,2,0,174,0,4,8
